,OTU_ID,Closeness_RAW,Date,Sample_type,Genotype,CLose_log,combine
1183,Otu1238,1.56E-06,4,Soil near roots,RNAi,-5.806721825,4Soil near rootsRNAi
1184,Otu1557,1.79E-05,4,Soil near roots,RNAi,-4.746712023,4Soil near rootsRNAi
1185,Otu947,1.87E-05,4,Soil near roots,RNAi,-4.72931871,4Soil near rootsRNAi
1186,Otu865,1.93E-05,4,Soil near roots,RNAi,-4.715359777,4Soil near rootsRNAi
1187,Otu1239,1.88E-05,4,Soil near roots,RNAi,-4.725789164,4Soil near rootsRNAi
1188,Otu729,1.90E-05,4,Soil near roots,RNAi,-4.721315881,4Soil near rootsRNAi
1189,Otu1225,1.73E-05,4,Soil near roots,RNAi,-4.762123152,4Soil near rootsRNAi
1190,Otu816,1.87E-05,4,Soil near roots,RNAi,-4.727598183,4Soil near rootsRNAi
1191,Otu780,1.89E-05,4,Soil near roots,RNAi,-4.723184667,4Soil near rootsRNAi
1192,Otu707,1.91E-05,4,Soil near roots,RNAi,-4.719993826,4Soil near rootsRNAi
1193,Otu1325,1.91E-05,4,Soil near roots,RNAi,-4.718651134,4Soil near rootsRNAi
1194,Otu861,1.90E-05,4,Soil near roots,RNAi,-4.721258125,4Soil near rootsRNAi
1195,Otu1327,1.84E-05,4,Soil near roots,RNAi,-4.736069662,4Soil near rootsRNAi
1196,Otu703,1.82E-05,4,Soil near roots,RNAi,-4.739572344,4Soil near rootsRNAi
1197,Otu948,1.91E-05,4,Soil near roots,RNAi,-4.719132328,4Soil near rootsRNAi
1198,Otu1378,1.92E-05,4,Soil near roots,RNAi,-4.717029404,4Soil near rootsRNAi
1199,Otu1040,1.87E-05,4,Soil near roots,RNAi,-4.727565655,4Soil near rootsRNAi
1200,Otu682,1.89E-05,4,Soil near roots,RNAi,-4.723775733,4Soil near rootsRNAi
1201,Otu16826,1.87E-05,4,Soil near roots,RNAi,-4.728061448,4Soil near rootsRNAi
1202,Otu717,1.55E-06,4,Soil near roots,RNAi,-5.808348737,4Soil near rootsRNAi
1203,Otu1962,1.87E-05,4,Soil near roots,RNAi,-4.727931459,4Soil near rootsRNAi
1204,Otu1873,1.89E-05,4,Soil near roots,RNAi,-4.722757284,4Soil near rootsRNAi
1205,Otu1150,1.56E-06,4,Soil near roots,RNAi,-5.80780756,4Soil near rootsRNAi
1206,Otu1273,1.91E-05,4,Soil near roots,RNAi,-4.719828286,4Soil near rootsRNAi
1207,Otu1206,1.56E-06,4,Soil near roots,RNAi,-5.806181331,4Soil near rootsRNAi
1208,Otu14874,1.86E-05,4,Soil near roots,RNAi,-4.729812507,4Soil near rootsRNAi
1209,Otu5591,1.84E-05,4,Soil near roots,RNAi,-4.734503801,4Soil near rootsRNAi
1210,Otu1159,1.90E-05,4,Soil near roots,RNAi,-4.722222464,4Soil near rootsRNAi
1211,Otu803,1.90E-05,4,Soil near roots,RNAi,-4.72223893,4Soil near rootsRNAi
1212,Otu11140,1.78E-05,4,Soil near roots,RNAi,-4.7500762,4Soil near rootsRNAi
1213,Otu827,1.91E-05,4,Soil near roots,RNAi,-4.718210955,4Soil near rootsRNAi
1214,Otu1143,1.56E-06,4,Soil near roots,RNAi,-5.806184045,4Soil near rootsRNAi
1215,Otu1365,1.89E-05,4,Soil near roots,RNAi,-4.723742917,4Soil near rootsRNAi
