SampleID	Type	Site	Year	Plantstage	Line	Genotype2	Genotype	Treatment
RootTS43	Endosphere	Field	2015	Grainfill	414-4	pks40	RNAi	NA
RootTS64	Endosphere	Field	2015	Grainfill	414-4	pks40	RNAi	NA
RootTS71	Endosphere	Field	2015	Grainfill	414-4	pks40	RNAi	NA
RootTS56	Endosphere	Field	2015	Grainfill	414-4	pks40	RNAi	NA
RootTS22	Endosphere	Field	2015	7leafstage	621-1	pks44	RNAi	NA
RootTS6	Endosphere	Field	2015	7leafstage	621-1	pks44	RNAi	NA
RootTS18	Endosphere	Field	2015	7leafstage	621-1	pks44	RNAi	NA
RootTS40	Endosphere	Field	2015	7leafstage	621-1	pks44	RNAi	NA
RootTS62	Endosphere	Field	2015	Grainfill	621-1	pks44	RNAi	NA
RootTS46	Endosphere	Field	2015	Grainfill	621-1	pks44	RNAi	NA
RootTS58	Endosphere	Field	2015	Grainfill	621-1	pks44	RNAi	NA
RootTS80	Endosphere	Field	2015	Grainfill	621-1	pks44	RNAi	NA
RootTS5	Endosphere	Field	2015	7leafstage	WT-1	WT	WT	NA
RootTS23	Endosphere	Field	2015	7leafstage	WT-1	WT	WT	NA
RootTS14	Endosphere	Field	2015	7leafstage	WT-1	WT	WT	NA
RootTS37	Endosphere	Field	2015	7leafstage	WT-1	WT	WT	NA
RootTS45	Endosphere	Field	2015	Grainfill	WT-1	WT	WT	NA
RootTS63	Endosphere	Field	2015	Grainfill	WT-1	WT	WT	NA
RootTS54	Endosphere	Field	2015	Grainfill	WT-1	WT	WT	NA
RootTS77	Endosphere	Field	2015	Grainfill	WT-1	WT	WT	NA
RootTS1	Endosphere	Field	2015	7leafstage	WT-2	WT	WT	NA
RootTS32	Endosphere	Field	2015	7leafstage	WT-2	WT	WT	NA
RootTS17	Endosphere	Field	2015	7leafstage	WT-2	WT	WT	NA
RootTS41	Endosphere	Field	2015	Grainfill	WT-2	WT	WT	NA
RootTS61	Endosphere	Field	2015	Grainfill	WT-2	WT	WT	NA
RootTS72	Endosphere	Field	2015	Grainfill	WT-2	WT	WT	NA
RootTS57	Endosphere	Field	2015	Grainfill	WT-2	WT	WT	NA
SOIL69	Bulk soil	Greenhouse	2014	Boot	405-2	pks40	RNAi	N10
SOIL70	Bulk soil	Greenhouse	2014	Boot	405-2	pks40	RNAi	N50
SOIL71	Bulk soil	Greenhouse	2014	Boot	405-2	pks40	RNAi	N100
SOIL72	Bulk soil	Greenhouse	2014	Boot	548-1	pks44	RNAi	N10
SOIL73	Bulk soil	Greenhouse	2014	Boot	548-1	pks44	RNAi	N50
SOIL74	Bulk soil	Greenhouse	2014	Boot	548-1	pks44	RNAi	N100
